Town,xname,yname
Holliston,-71.44498155442555,42.197752524102484
Holyoke,-72.64110414056304,42.21254176171375
Hopedale,-71.53501710808214,42.12476658297843
Hopkinton,-71.53781123647245,42.225511169147055
Hubbardston,-72.00513743516605,42.4838062618589
Hudson,-71.54647784674033,42.38867531729916
Hull,-70.87694986117975,42.31450435451592
Huntington,-72.85493505808154,42.284416133318054
Ipswich,-70.83887907482858,42.68573040159432
Kingston,-70.74839202132816,41.98613419362825
Lakeville,-70.95938324794302,41.831047607881715
Lancaster,-71.68082403041096,42.48172937548157
Lanesborough,-73.23940165774796,42.53174691658802
Lawrence,-71.16261628846586,42.700246115037416
Lee,-73.234115204308,42.30201146147501
Leicester,-71.91201682555467,42.240001426454874
Lenox,-73.27598948687317,42.37165006683216
Leominster,-71.771670847740893,42.52089096022252
Leverett,-72.48746001140937,42.47362069538604
Lexington,-71.23070702594752,42.445641898844
Leyden,-72.62647917620554,42.695786863392435
Lincoln,-71.30863814462191,42.42663009685291
Littleton,-71.48910128420151,42.535030315974495
Longmeadow,-72.57191188267075,42.04756105520482
Lowell,-71.32171552110877,42.638875234377934
Ludlow,-72.45804613720883,42.19211443419102
Lunenburg,-71.71991082676617,42.58969449036956
Lynn,-70.96346130431598,42.47961729175207
Lynnfield,-71.03816609922102,42.53564129445122
Malden,-71.05756775954507,42.43050812890887
Manchester,-70.76522364470611,42.579734249446574
Mansfield,-71.21867677723927,42.0162626241014
Marblehead,-70.86380262577535,42.499081323020356
Marion,-70.76213430540848,41.701071090996486
Marlborough,-71.54681854019739,42.349399175586356
Marshfield,-70.7174831902424,42.113336694541516
Mashpee,-70.49146894174162,41.619071962900286
Mattapoisett,-70.81738280921094,41.66941602107308
Maynard,-71.45610736971724,42.42639719463474
Medfield,-71.30499825780043,42.1848261205594
Medford,-71.11132120505619,42.42530145896435
Medway,-71.4290337022224,42.15353048421018
Melrose,-71.05900789215438,42.45561671234192
Mendon,-71.55147319105399,42.09302329394182
Merrimac,-71.0120486301502,42.838674073576136
Methuen,-71.18882380154484,42.73399607451488
Middleborough,-70.8744324073522,41.880378422297994
Middlefield,-73.01575112855984,42.351409204071004
Middleton,-71.01644477363179,42.60432918749258
Milford,-71.51878130931222,42.15652262269828
Millbury,-71.77407497531424,42.19245920588176
Millis,-71.3625601108359,42.169322166057206
Millville,-71.57767358988323,42.03901175622973
Milton,-71.08431089268177,42.241272500672594
Monroe,-72.98259066664421,42.7226526956928
Monson,-72.32611583867612,42.09340258949315
Montague,-72.51770576436998,42.55490071172546
Monterey,-73.2273747138928,42.190582185389815
Montgomery,-72.82033199779566,42.20906374647579
Mount Washington,-73.4662235647898,42.0939745541592
Nahant,-70.92106792994117,42.43421895307931
Nantucket,-70.0589703064155,41.27277183699787
Natick,-71.34970545092567,42.28472087811401
Needham,-71.2410775117504,42.28137303186746
New Ashford,-73.22402478499497,42.60867795193484
New Bedford,-70.94416948236852,41.67134874076142
New Braintree,-72.12794296613772,42.319310549764154
New Marlborough,-73.24000755650864,42.10090219771047
New Salem,-72.32674355637322,42.452527367965814
Newbury,-70.86542341976653,42.771654651257144
Newburyport,-70.88786428740552,42.81185230064731
Newton,-71.20843652071913,42.33161247939875
Norfolk,-71.32953363806413,42.116323213734915
North Adams,-73.11661133345369,42.68440082844389
North Andover,-71.08652799166836,42.671367483565525
North Attleborough,-71.33446213668314,41.96992370440716
North Brookfield,-72.07794458418616,42.26950978928997
North Reading,-71.08756982640355,42.58156178929967
Northampton,-72.67453685471942,42.32664739303423
Northborough,-71.64621389473784,42.32315305053602
Northbridge,-71.65472793063805,42.13000841097288
