date,Town,Count,Tests
2020-04-22,Swampscott,77,NA
2020-04-22,Swansea,31,NA
2020-04-22,Taunton,351,NA
2020-04-22,Templeton,84,NA
2020-04-22,Tewksbury,204,NA
2020-04-22,Tisbury,3,NA
2020-04-22,Tolland,0,NA
2020-04-22,Topsfield,76,NA
2020-04-22,Townsend,17,NA
2020-04-22,Truro,9,NA
2020-04-22,Tyngsborough,63,NA
2020-04-22,Tyringham,3,NA
2020-04-22,Upton,13,NA
2020-04-22,Uxbridge,29,NA
2020-04-22,Wakefield,181,NA
2020-04-22,Wales,3,NA
2020-04-22,Walpole,145,NA
2020-04-22,Waltham,542,NA
2020-04-22,Ware,10,NA
2020-04-22,Wareham,78,NA
2020-04-22,Warren,3,NA
2020-04-22,Warwick,0,NA
2020-04-22,Washington,3,NA
2020-04-22,Watertown,163,NA
2020-04-22,Wayland,50,NA
2020-04-22,Webster,48,NA
2020-04-22,Wellesley,164,NA
2020-04-22,Wellfleet,3,NA
2020-04-22,Wendell,0,NA
2020-04-22,Wenham,8,NA
2020-04-22,West Boylston,21,NA
2020-04-22,West Bridgewater,32,NA
2020-04-22,West Brookfield,6,NA
2020-04-22,West Newbury,3,NA
2020-04-22,West Springfield,171,NA
2020-04-22,West Stockbridge,3,NA
2020-04-22,West Tisbury,7,NA
2020-04-22,Westborough,133,NA
2020-04-22,Westfield,270,NA
2020-04-22,Westford,93,NA
2020-04-22,Westhampton,3,NA
2020-04-22,Westminster,13,NA
2020-04-22,Weston,66,NA
2020-04-22,Westport,16,NA
2020-04-22,Westwood,67,NA
2020-04-22,Weymouth,360,NA
2020-04-22,Whately,3,NA
2020-04-22,Whitman,87,NA
2020-04-22,Wilbraham,91,NA
2020-04-22,Williamsburg,5,NA
2020-04-22,Williamstown,81,NA
2020-04-22,Wilmington,184,NA
2020-04-22,Winchendon,41,NA
2020-04-22,Winchester,60,NA
2020-04-22,Windsor,0,NA
2020-04-22,Winthrop,110,NA
2020-04-22,Woburn,220,NA
2020-04-22,Worcester,1457,NA
2020-04-22,Worthington,0,NA
2020-04-22,Wrentham,46,NA
2020-04-22,Yarmouth,52,NA
2020-04-29,Abington,143,NA
2020-04-29,Wrentham,100,NA
2020-04-29,Acton,74,NA
2020-04-29,Acushnet,35,NA
2020-04-29,Adams,32,NA
2020-04-29,Agawam,317,NA
2020-04-29,Alford,0,NA
2020-04-29,Amesbury,72,NA
2020-04-29,Amherst,83,NA
2020-04-29,Andover,158,NA
2020-04-29,Aquinnah,0,NA
2020-04-29,Arlington,218,NA
2020-04-29,Ashburnham,16,NA
2020-04-29,Ashby,8,NA
2020-04-29,Ashfield,3,NA
2020-04-29,Ashland,128,NA
2020-04-29,Athol,38,NA
2020-04-29,Attleboro,443,NA
2020-04-29,Auburn,55,NA
2020-04-29,Avon,48,NA
2020-04-29,Ayer,40,NA
2020-04-29,Barnstable,187,NA
2020-04-29,Barre,37,NA
2020-04-29,Becket,11,NA
2020-04-29,Bedford,152,NA
2020-04-29,Belchertown,62,NA
2020-04-29,Bellingham,78,NA
2020-04-29,Belmont,162,NA
2020-04-29,Berkley,33,NA
2020-04-29,Berlin,15,NA
2020-04-29,Bernardston,3,NA
2020-04-29,Beverly,363,NA
2020-04-29,Billerica,346,NA
2020-04-29,Blackstone,23,NA
2020-04-29,Blandford,0,NA
2020-04-29,Bolton,9,NA
2020-04-29,Boston,9284,NA
2020-04-29,Bourne,121,NA
2020-04-29,Boxborough,13,NA
2020-04-29,Boxford,28,NA
2020-04-29,Boylston,10,NA
2020-04-29,Braintree,570,NA
2020-04-29,Brewster,87,NA
2020-04-29,Bridgewater,183,NA
2020-04-29,Brimfield,3,NA
2020-04-29,Brockton,2735,NA
2020-04-29,Brookfield,6,NA
2020-04-29,Brookline,263,NA
2020-04-29,Buckland,7,NA
2020-04-29,Burlington,173,NA
2020-04-29,Cambridge,773,NA
2020-04-29,Canton,219,NA
2020-04-29,Carlisle,7,NA
2020-04-29,Carver,26,NA
2020-04-29,Charlemont,0,NA
2020-04-29,Charlton,38,NA
2020-04-29,Chatham,11,NA
2020-04-29,Chelmsford,229,NA
2020-04-29,Chelsea,1965,NA
