long,lat,order,hole,piece,group,id,Town
-71.07566956,42.34345135,7704,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07568956,42.34348135,7705,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07572956,42.34355135,7706,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07577956,42.34363135,7707,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07588956,42.34390135,7708,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07678956,42.34366135,7709,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07750956,42.34343135,7710,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07783956,42.34334135,7711,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07809956,42.34327135,7712,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07821956,42.34327135,7713,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07829956,42.34333135,7714,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07853956,42.34316135,7715,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07893956,42.34343135,7716,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07909956,42.34354135,7717,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07914956,42.34346135,7718,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07922956,42.34345135,7719,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07938956,42.34343135,7720,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07959956,42.34389135,7721,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07975468,42.34400215,7722,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07980956,42.34404135,7723,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07997956,42.34416135,7724,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08003956,42.34420135,7725,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08009956,42.34424135,7726,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08025956,42.34435135,7727,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08091956,42.34478135,7728,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08127956,42.34505135,7729,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08150446,42.3456331,7730,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08180886,42.34642049,7731,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08181623,42.34652269,7732,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08187071,42.34652183,7733,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08201163,42.34651963,7734,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08218603,42.34653219,7735,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.0822358,42.34654019,7736,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08229061,42.34654725,7737,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08239995,42.34655787,7738,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08247814,42.34656546,7739,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08282102,42.34659884,7740,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08285497,42.34659488,7741,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08327856,42.34662008,7742,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08357206,42.34663372,7743,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08358715,42.34663405,7744,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08377808,42.3466382,7745,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08402006,42.34667536,7746,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08422162,42.34669953,7747,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08437482,42.34677638,7748,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08452802,42.34685322,7749,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08532088,42.34732135,7750,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08538956,42.34746135,7751,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08542956,42.34755135,7752,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08550956,42.34771135,7753,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08606956,42.34770135,7754,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08555956,42.34782135,7755,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08523956,42.34791135,7756,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08372956,42.34835135,7757,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08351774,42.34878107,7758,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08370157,42.34877267,7759,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08394956,42.34876135,7760,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08412956,42.34915135,7761,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08431956,42.34955135,7762,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08454956,42.35000135,7763,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08461956,42.35015135,7764,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08469956,42.35030135,7765,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08490956,42.35073135,7766,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08509956,42.35113135,7767,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08528956,42.35150135,7768,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08549956,42.35191135,7769,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08572956,42.35246135,7770,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08679956,42.35215135,7771,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08723956,42.35202135,7772,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08974956,42.35134135,7773,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08979956,42.35143135,7774,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08985956,42.35157135,7775,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08989956,42.35171135,7776,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.09001956,42.35196135,7777,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
